fold_id,image_id,crop_path,dataset_split,crop_label,prediction,error_type,probability_dirty_positive,selected_threshold,threshold_margin,grayscale_mean,grayscale_std,grayscale_p05,grayscale_p95,hsv_saturation_mean,hsv_value_mean,laplacian_variance,edge_pixel_fraction,selected_for_contact_sheet,contact_sheet_path
1,1,clean_negative/clean_1_25.jpg,train,clean_negative,dirty_positive,false_positive,0.34878124,0.20,0.14878124,0.59382176,0.07388227,0.52156866,0.74901962,0.11027282,0.61319435,0.00237361,0.39379883,false,
1,1,clean_negative/clean_1_26.jpg,train,clean_negative,clean_negative,true_negative,0.15253692,0.20,0.04746308,0.65293461,0.10869258,0.50980395,0.85098040,0.12302217,0.67322379,0.00476875,0.54566956,false,
1,1,clean_negative/clean_1_27.jpg,train,clean_negative,clean_negative,true_negative,0.03937948,0.20,0.16062052,0.63697225,0.11478620,0.48627451,0.84705883,0.13552354,0.65871572,0.00401065,0.50369263,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_28.jpg,train,clean_negative,clean_negative,true_negative,0.03977219,0.20,0.16022781,0.63417661,0.11490928,0.48235294,0.84705883,0.13763747,0.65617347,0.00390205,0.49800110,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_29.jpg,train,clean_negative,dirty_positive,false_positive,0.33973850,0.20,0.13973850,0.57948458,0.05139721,0.51764709,0.67058825,0.11180057,0.59881639,0.00224802,0.34959412,false,
1,1,clean_negative/clean_1_30.jpg,train,clean_negative,dirty_positive,false_positive,0.92211944,0.20,0.72211944,0.58709013,0.06941941,0.51372552,0.72156864,0.11217359,0.60569829,0.00301635,0.43734741,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_31.jpg,train,clean_negative,dirty_positive,false_positive,0.22393083,0.20,0.02393083,0.64294285,0.10249616,0.52549022,0.84705883,0.12504447,0.66339254,0.00509745,0.54006958,false,
1,1,clean_negative/clean_1_32.jpg,train,clean_negative,clean_negative,true_negative,0.05663427,0.20,0.14336573,0.62645793,0.10842384,0.48627451,0.83921570,0.13672486,0.64799523,0.00435654,0.50280762,false,
1,1,clean_negative/clean_1_33.jpg,train,clean_negative,clean_negative,true_negative,0.05741057,0.20,0.14258943,0.62413907,0.10841672,0.48235294,0.83921570,0.13843019,0.64586890,0.00429663,0.49838257,false,
1,1,clean_negative/clean_1_34.jpg,train,clean_negative,dirty_positive,false_positive,0.90182591,0.20,0.70182591,0.57625866,0.05722557,0.51372552,0.68235296,0.11334373,0.59505391,0.00288519,0.41390991,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_35.jpg,train,clean_negative,clean_negative,true_negative,0.19040055,0.20,0.00959945,0.65369487,0.09462932,0.54901963,0.84705883,0.11865511,0.67406762,0.00517621,0.50177002,false,
1,1,clean_negative/clean_1_36.jpg,train,clean_negative,clean_negative,true_negative,0.14815265,0.20,0.05184735,0.64839637,0.09645040,0.54509807,0.84705883,0.12163033,0.66881615,0.00513808,0.51318359,false,
1,1,clean_negative/clean_1_37.jpg,train,clean_negative,dirty_positive,false_positive,0.22370082,0.20,0.02370082,0.64252710,0.09324908,0.54509807,0.83921570,0.12883985,0.66405922,0.00572261,0.52000427,false,
1,1,clean_negative/clean_1_38.jpg,train,clean_negative,clean_negative,true_negative,0.18433834,0.20,0.01566166,0.63738739,0.09457532,0.54117650,0.83921570,0.13067040,0.65886378,0.00554744,0.51776123,false,
1,1,clean_negative/clean_1_39.jpg,train,clean_negative,dirty_positive,false_positive,0.35777255,0.20,0.15777255,0.63125718,0.09739903,0.53333336,0.83921570,0.13395631,0.65276664,0.00556155,0.53207397,false,
1,1,clean_negative/clean_1_40.jpg,train,clean_negative,clean_negative,true_negative,0.11504911,0.20,0.08495089,0.61986649,0.10171280,0.49803922,0.83529413,0.14064565,0.64180708,0.00494970,0.50631714,false,
1,1,clean_negative/clean_1_41.jpg,train,clean_negative,clean_negative,true_negative,0.10706285,0.20,0.09293715,0.61815637,0.10182823,0.49411765,0.83529413,0.14191794,0.64023358,0.00491867,0.50263977,false,
1,1,clean_negative/clean_1_42.jpg,train,clean_negative,dirty_positive,false_positive,0.30613382,0.20,0.10613382,0.62424427,0.08593401,0.54117650,0.81568629,0.14373547,0.64746130,0.00666808,0.51321411,false,
1,1,clean_negative/clean_1_43.jpg,train,clean_negative,dirty_positive,false_positive,0.23534407,0.20,0.03534407,0.62009621,0.08680003,0.53725493,0.81176472,0.14429310,0.64300543,0.00641929,0.51208496,false,
1,1,clean_negative/clean_1_44.jpg,train,clean_negative,dirty_positive,false_positive,0.31794742,0.20,0.11794742,0.61683178,0.08776416,0.53333336,0.81176472,0.14451241,0.63943601,0.00644629,0.52183533,false,
1,1,clean_negative/clean_1_45.jpg,train,clean_negative,dirty_positive,false_positive,0.96806164,0.20,0.76806164,0.61196899,0.09085396,0.52156866,0.81176472,0.14615072,0.63446993,0.00636518,0.52581787,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_46.jpg,train,clean_negative,dirty_positive,false_positive,0.94243138,0.20,0.74243138,0.61133546,0.09123355,0.51764709,0.81176472,0.14634180,0.63383412,0.00637784,0.52494812,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_47.jpg,train,clean_negative,dirty_positive,false_positive,0.97500921,0.20,0.77500921,0.61078233,0.08946755,0.52156866,0.81176472,0.14696035,0.63338035,0.00703031,0.53634644,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_48.jpg,train,clean_negative,dirty_positive,false_positive,0.97530421,0.20,0.77530421,0.61032659,0.08980949,0.52156866,0.80784315,0.14706063,0.63294590,0.00704848,0.53540039,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_49.jpg,train,clean_negative,dirty_positive,false_positive,0.56212957,0.20,0.36212957,0.61388373,0.08651890,0.53333336,0.80784315,0.14751899,0.63681686,0.00711923,0.52220154,false,
1,1,clean_negative/clean_1_50.jpg,train,clean_negative,dirty_positive,false_positive,0.28050084,0.20,0.08050084,0.61271870,0.08253652,0.53333336,0.80000001,0.14932838,0.63604385,0.00781628,0.51982117,false,
1,1,clean_negative/clean_1_51.jpg,train,clean_negative,dirty_positive,false_positive,0.33329441,0.20,0.13329441,0.61560309,0.08156447,0.53725493,0.80000001,0.14855090,0.63908756,0.00798730,0.51275635,false,
1,1,clean_negative/clean_1_52.jpg,train,clean_negative,clean_negative,true_negative,0.18706205,0.20,0.01293795,0.60588646,0.07408461,0.52549022,0.76078433,0.14881869,0.62848592,0.00891234,0.52372742,false,
1,1,clean_negative/clean_1_53.jpg,train,clean_negative,clean_negative,true_negative,0.13492241,0.20,0.06507759,0.60389966,0.07363684,0.52549022,0.75686276,0.14967415,0.62646198,0.00880704,0.52908325,false,
1,1,clean_negative/clean_1_54.jpg,train,clean_negative,clean_negative,true_negative,0.13437990,0.20,0.06562010,0.59497941,0.06727556,0.51764709,0.72549021,0.15632404,0.61799353,0.00873280,0.52616882,false,
1,1,clean_negative/clean_1_55.jpg,train,clean_negative,clean_negative,true_negative,0.16504624,0.20,0.03495376,0.59765232,0.06806540,0.51764709,0.72941178,0.15496594,0.62043595,0.00848793,0.52021790,false,
1,1,clean_negative/clean_1_56.jpg,train,clean_negative,dirty_positive,false_positive,0.33980677,0.20,0.13980677,0.59719431,0.06442273,0.51764709,0.71764708,0.15932737,0.62057781,0.00844392,0.52183533,false,
1,1,clean_negative/clean_1_57.jpg,train,clean_negative,dirty_positive,false_positive,0.28573567,0.20,0.08573567,0.59391171,0.06501063,0.51372552,0.71372551,0.16040811,0.61735594,0.00938101,0.53536987,false,
1,1,clean_negative/clean_1_58.jpg,train,clean_negative,dirty_positive,false_positive,0.39536795,0.20,0.19536795,0.59492171,0.06113458,0.51764709,0.70196080,0.16980048,0.62005681,0.00790812,0.49981689,false,
1,1,clean_negative/clean_1_59.jpg,train,clean_negative,dirty_positive,false_positive,0.34903075,0.20,0.14903075,0.59033883,0.06210935,0.51372552,0.70196080,0.17201546,0.61568326,0.00893494,0.51432800,false,
1,1,clean_negative/clean_1_60.jpg,train,clean_negative,dirty_positive,false_positive,0.82859445,0.20,0.62859445,0.59079552,0.05996795,0.51372552,0.69803923,0.18147309,0.61786962,0.00743220,0.49807739,false,
1,1,clean_negative/clean_1_61.jpg,train,clean_negative,dirty_positive,false_positive,0.90396199,0.20,0.70396199,0.58445644,0.06063173,0.50588238,0.69019610,0.18513909,0.61197150,0.00844457,0.51283264,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_62.jpg,train,clean_negative,dirty_positive,false_positive,0.95503723,0.20,0.75503723,0.66875339,0.05952036,0.59215689,0.77647060,0.08671965,0.68232173,0.00497777,0.49124146,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_63.jpg,train,clean_negative,dirty_positive,false_positive,0.95852879,0.20,0.75852879,0.65506494,0.06157611,0.57647061,0.76862746,0.10538349,0.67111456,0.00555656,0.50071716,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_64.jpg,train,clean_negative,dirty_positive,false_positive,0.99304943,0.20,0.79304943,0.64693201,0.06286430,0.56862748,0.76470590,0.11663461,0.66472602,0.00601103,0.52282715,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_65.jpg,train,clean_negative,dirty_positive,false_positive,0.29960296,0.20,0.09960296,0.53463662,0.08159435,0.43529412,0.69019610,0.22519687,0.56775630,0.01114316,0.61849976,false,
1,1,clean_negative/clean_1_66.jpg,train,clean_negative,clean_negative,true_negative,0.11364468,0.20,0.08635532,0.55130005,0.09725291,0.43529412,0.73725492,0.20207001,0.58068240,0.01089835,0.64356995,false,
1,1,clean_negative/clean_1_67.jpg,train,clean_negative,clean_negative,true_negative,0.08549243,0.20,0.11450757,0.56666648,0.10567978,0.43137255,0.75686276,0.18519115,0.59319949,0.00964866,0.65895081,false,
1,1,clean_negative/clean_1_68.jpg,train,clean_negative,dirty_positive,false_positive,0.86466848,0.20,0.66466848,0.57206464,0.08615734,0.45490196,0.73725492,0.13621739,0.59264922,0.00312312,0.55366516,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_69.jpg,train,clean_negative,dirty_positive,false_positive,0.83113377,0.20,0.63113377,0.57185340,0.08817530,0.45098040,0.74117649,0.14239928,0.59323871,0.00329518,0.56892395,false,
1,1,clean_negative/clean_1_70.jpg,train,clean_negative,clean_negative,true_negative,0.05343316,0.20,0.14656684,0.57412601,0.10930272,0.43137255,0.76862746,0.17866093,0.59959263,0.00796399,0.64376831,false,
1,1,clean_negative/clean_1_71.jpg,train,clean_negative,clean_negative,true_negative,0.07472170,0.20,0.12527830,0.58833730,0.10384053,0.43921569,0.77254903,0.16069224,0.61162674,0.00652519,0.64733887,false,
1,1,clean_negative/clean_1_72.jpg,train,clean_negative,clean_negative,true_negative,0.13514044,0.20,0.06485956,0.59292156,0.09779548,0.45882353,0.76862746,0.15074423,0.61496937,0.00488097,0.63531494,false,
1,1,clean_negative/clean_1_73.jpg,train,clean_negative,clean_negative,true_negative,0.16571887,0.20,0.03428113,0.58983719,0.09296118,0.45882353,0.75686276,0.15091650,0.61217165,0.00384909,0.60945129,false,
1,1,clean_negative/clean_1_74.jpg,train,clean_negative,dirty_positive,false_positive,0.82780164,0.20,0.62780164,0.57802218,0.09243961,0.44705883,0.74901962,0.15057752,0.60029984,0.00347039,0.59118652,false,
1,1,clean_negative/clean_1_75.jpg,train,clean_negative,dirty_positive,false_positive,0.46860994,0.20,0.26860994,0.51424617,0.07034715,0.43137255,0.64705884,0.24785432,0.55059004,0.00920856,0.56576538,false,
1,1,clean_negative/clean_1_76.jpg,train,clean_negative,clean_negative,true_negative,0.14190587,0.20,0.05809413,0.53162169,0.09107357,0.43137255,0.71764708,0.22263330,0.56391966,0.00932397,0.59474182,false,
1,1,clean_negative/clean_1_77.jpg,train,clean_negative,clean_negative,true_negative,0.07335643,0.20,0.12664357,0.55347174,0.10416938,0.43137255,0.74901962,0.19926579,0.58209759,0.00874742,0.62429810,false,
1,1,clean_negative/clean_1_78.jpg,train,clean_negative,clean_negative,true_negative,0.04871210,0.20,0.15128790,0.57004142,0.10845309,0.43137255,0.76078433,0.18295139,0.59614086,0.00745502,0.63662720,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,clean_negative/clean_1_79.jpg,train,clean_negative,clean_negative,true_negative,0.06580454,0.20,0.13419546,0.58483279,0.10346266,0.43921569,0.76862746,0.16412510,0.60860980,0.00647230,0.64445496,false,
1,1,clean_negative/clean_1_80.jpg,train,clean_negative,clean_negative,true_negative,0.13384070,0.20,0.06615930,0.59096026,0.09675362,0.45882353,0.76470590,0.15218697,0.61326385,0.00498641,0.63955688,false,
1,1,clean_negative/clean_1_81.jpg,train,clean_negative,dirty_positive,false_positive,0.24611573,0.20,0.04611573,0.58855700,0.09146591,0.45882353,0.75294119,0.15226519,0.61112660,0.00386759,0.61639404,false,
1,1,clean_negative/clean_1_82.jpg,train,clean_negative,dirty_positive,false_positive,0.98085781,0.20,0.78085781,0.57568192,0.09097159,0.44705883,0.74117649,0.15296954,0.59832478,0.00353288,0.59516907,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_83.jpg,train,clean_negative,dirty_positive,false_positive,0.98086010,0.20,0.78086010,0.57073474,0.08890155,0.45098040,0.74117649,0.14593035,0.59266734,0.00330842,0.57820129,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_84.jpg,train,clean_negative,dirty_positive,false_positive,0.97258761,0.20,0.77258761,0.56827289,0.08602341,0.45098040,0.73333335,0.13914479,0.58931863,0.00325703,0.56399536,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_85.jpg,train,clean_negative,clean_negative,true_negative,0.19438879,0.20,0.00561121,0.58835793,0.09082162,0.45882353,0.74901962,0.15276119,0.61098731,0.00389675,0.61740112,false,
1,1,clean_negative/clean_1_86.jpg,train,clean_negative,dirty_positive,false_positive,0.84764329,0.20,0.64764329,0.57515705,0.09037876,0.44705883,0.73725492,0.15370509,0.59789783,0.00356996,0.59600830,false,
1,1,clean_negative/clean_1_87.jpg,train,clean_negative,dirty_positive,false_positive,0.84676424,0.20,0.64676424,0.57018578,0.08862536,0.45098040,0.73725492,0.14664906,0.59222519,0.00334322,0.58052063,false,
1,1,clean_negative/clean_1_88.jpg,train,clean_negative,dirty_positive,false_positive,0.84450884,0.20,0.64450884,0.56775296,0.08622897,0.45098040,0.73333335,0.13980033,0.58888686,0.00326928,0.56646729,false,
1,1,clean_negative/clean_1_89.jpg,train,clean_negative,dirty_positive,false_positive,0.43116279,0.20,0.23116279,0.58332193,0.09535358,0.45098040,0.75294119,0.15917048,0.60660553,0.00564200,0.63908386,false,
1,1,clean_negative/clean_1_90.jpg,train,clean_negative,dirty_positive,false_positive,0.94901353,0.20,0.74901353,0.50142908,0.05517666,0.43137255,0.60000002,0.25630483,0.53888047,0.00688024,0.52366638,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_91.jpg,train,clean_negative,dirty_positive,false_positive,0.72828284,0.20,0.52828284,0.52046466,0.08394733,0.43137255,0.69803923,0.23195240,0.55407178,0.00739508,0.55958557,false,
1,1,clean_negative/clean_1_92.jpg,train,clean_negative,dirty_positive,false_positive,0.44676910,0.20,0.24676910,0.54608703,0.10083821,0.43137255,0.73725492,0.20613693,0.57582468,0.00707538,0.59196472,false,
1,1,clean_negative/clean_1_93.jpg,train,clean_negative,dirty_positive,false_positive,0.26462067,0.20,0.06462067,0.56316358,0.10404445,0.43137255,0.74509805,0.18989995,0.59042597,0.00641368,0.61015320,false,
1,1,clean_negative/clean_1_94.jpg,train,clean_negative,dirty_positive,false_positive,0.30172144,0.20,0.10172144,0.57705402,0.09979281,0.43921569,0.75294119,0.17093065,0.60192442,0.00614137,0.62841797,false,
1,1,clean_negative/clean_1_95.jpg,train,clean_negative,dirty_positive,false_positive,0.94989119,0.20,0.74989119,0.50076377,0.05426947,0.43137255,0.59607846,0.25654149,0.53826702,0.00679792,0.52000427,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_positive.jpg
1,1,clean_negative/clean_1_96.jpg,train,clean_negative,dirty_positive,false_positive,0.72929023,0.20,0.52929023,0.51998317,0.08361332,0.43137255,0.69803923,0.23234619,0.55368084,0.00728619,0.55607605,false,
1,1,clean_negative/clean_1_97.jpg,train,clean_negative,dirty_positive,false_positive,0.46683754,0.20,0.26683754,0.54570282,0.10080583,0.43137255,0.73725492,0.20659031,0.57553059,0.00696634,0.58839417,false,
1,1,clean_negative/clean_1_98.jpg,train,clean_negative,dirty_positive,false_positive,0.34717631,0.20,0.14717631,0.55521601,0.10025925,0.43137255,0.73333335,0.19138442,0.58271462,0.00617445,0.57476807,false,
1,1,clean_negative/clean_1_99.jpg,train,clean_negative,dirty_positive,false_positive,0.36491179,0.20,0.16491179,0.56865907,0.09780153,0.43529412,0.74117649,0.17119950,0.59355426,0.00605189,0.60467529,false,
1,1,clean_negative/clean_1_100.jpg,train,clean_negative,dirty_positive,false_positive,0.31524466,0.20,0.11524466,0.57502604,0.09414832,0.43921569,0.74117649,0.15962502,0.59843886,0.00560609,0.62072754,false,
1,1,clean_negative/clean_1_101.jpg,train,clean_negative,dirty_positive,false_positive,0.48207872,0.20,0.28207872,0.54043710,0.09253834,0.43137255,0.70980394,0.19756913,0.56871861,0.00608879,0.54441833,false,
1,1,clean_negative/clean_1_102.jpg,train,clean_negative,dirty_positive,false_positive,0.46434492,0.20,0.26434492,0.54117095,0.09270775,0.43137255,0.70980394,0.19669938,0.56931376,0.00595463,0.54493713,false,
1,1,clean_negative/clean_1_103.jpg,train,clean_negative,dirty_positive,false_positive,0.52101903,0.20,0.32101903,0.55351228,0.09290059,0.43529412,0.71764708,0.18018189,0.57965320,0.00601472,0.57780457,false,
1,1,clean_negative/clean_1_104.jpg,train,clean_negative,dirty_positive,false_positive,0.34717218,0.20,0.14717218,0.55975872,0.09038346,0.43529412,0.72156864,0.16997078,0.58460546,0.00577851,0.59199524,false,
1,1,clean_negative/clean_1_105.jpg,train,clean_negative,dirty_positive,false_positive,0.50683979,0.20,0.30683979,0.53506917,0.08523372,0.43529412,0.69803923,0.19283803,0.56262791,0.00632973,0.54397583,false,
1,1,clean_negative/clean_1_106.jpg,train,clean_negative,dirty_positive,false_positive,0.49617011,0.20,0.29617011,0.53552336,0.08541381,0.43529412,0.69803923,0.19231689,0.56299305,0.00618644,0.54441833,false,
1,1,clean_negative/clean_1_107.jpg,train,clean_negative,dirty_positive,false_positive,0.55082259,0.20,0.35082259,0.54482436,0.08771364,0.43529412,0.70588237,0.17949584,0.57070744,0.00615402,0.57005310,false,
1,1,clean_negative/clean_1_108.jpg,train,clean_negative,dirty_positive,false_positive,0.36257775,0.20,0.16257775,0.55061448,0.08611976,0.43529412,0.70588237,0.16937611,0.57520497,0.00597531,0.58554077,false,
1,1,clean_negative/clean_1_109.jpg,train,clean_negative,clean_negative,true_negative,0.15489818,0.20,0.04510182,0.54714084,0.05338634,0.47058824,0.63921571,0.07425670,0.55904895,0.00396794,0.34535217,false,
1,1,clean_negative/clean_1_110.jpg,train,clean_negative,clean_negative,true_negative,0.06697533,0.20,0.13302467,0.55331594,0.04463590,0.49411765,0.62745100,0.05277776,0.56292760,0.00311665,0.27409363,false,
1,1,clean_negative/clean_1_111.jpg,train,clean_negative,clean_negative,true_negative,0.04738759,0.20,0.15261241,0.55789691,0.03886062,0.50980395,0.61568630,0.04362841,0.56779504,0.00243186,0.20413208,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_true_negative.jpg
1,1,dirty_positive/dirty_1_1.jpg,train,dirty_positive,clean_negative,false_negative,0.12165841,0.20,0.07834159,0.63855463,0.09585989,0.51764709,0.83529413,0.13180554,0.66261208,0.00172374,0.44174194,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,1,dirty_positive/dirty_1_2.jpg,train,dirty_positive,clean_negative,false_negative,0.09509154,0.20,0.10490846,0.63302517,0.08835799,0.51372552,0.80392158,0.13876483,0.65760773,0.00174010,0.43760681,true,tmp\sourcewise_error_atlas\run_001\contact_sheets\source_1_false_negative.jpg
1,1,dirty_positive/dirty_1_3.jpg,train,dirty_positive,clean_negative,false_negative,0.14400508,0.20,0.05599492,0.63889527,0.09594934,0.52156866,0.83529413,0.13080469,0.66281235,0.00174407,0.44171143,false,
1,1,dirty_positive/dirty_1_4.jpg,train,dirty_positive,clean_negative,false_negative,0.16576026,0.20,0.03423974,0.63788509,0.09559187,0.51764709,0.83529413,0.13346440,0.66218841,0.00172425,0.44296265,false,
1,1,dirty_positive/dirty_1_5.jpg,train,dirty_positive,dirty_positive,true_positive,0.56819852,0.20,0.36819852,0.67177927,0.06485762,0.59607846,0.80392158,0.10264222,0.68935680,0.00268787,0.41749573,false,
1,1,dirty_positive/dirty_1_6.jpg,train,dirty_positive,dirty_positive,true_positive,0.61864709,0.20,0.41864709,0.67527395,0.06297502,0.59607846,0.79607844,0.09892853,0.69242680,0.00260803,0.39660645,false,
