image_id,spot_id,preliminary_preview_radius,raw_enclosing_circle_radius,final_ground_truth_radius,preview_radius,radius_changed_from_preliminary
4,4_spot_011,24.5968,24.5968,24.5968,24.5968,false
4,4_spot_012,32.8715,32.8715,32.8715,32.8715,false
4,4_spot_013,30.4139,30.4139,30.4139,30.4139,false
4,4_spot_014,18.0279,18.0279,18.0279,18.0279,false
4,4_spot_015,29.5856,29.5856,29.5856,29.5856,false
4,4_spot_016,21.7113,21.7113,21.7113,21.7113,false
4,4_spot_017,39.0513,39.0513,39.0513,39.0513,false
4,4_spot_018,18.8216,18.8216,18.8216,18.8216,false
4,4_spot_019,34.037,34.037,34.037,34.037,false
4,4_spot_020,27.5364,27.5364,27.5364,27.5364,false
4,4_spot_021,31.5675,31.5675,31.5675,31.5675,false
5,5_spot_001,26.9538,26.9538,26.9538,26.9538,false
5,5_spot_002,23.9036,23.9036,23.9036,23.9036,false
5,5_spot_003,50.0,69.6592,69.6592,50.0,true
5,5_spot_004,37.3632,37.3632,37.3632,37.3632,false
5,5_spot_005,21.8056,21.8056,21.8056,21.8056,false
5,5_spot_006,23.9577,23.9577,23.9577,23.9577,false
5,5_spot_007,44.9153,44.9153,44.9153,44.9153,false
5,5_spot_008,21.0951,21.0951,21.0951,21.0951,false
5,5_spot_009,21.7113,21.7113,21.7113,21.7113,false
5,5_spot_010,20.9375,20.9375,20.9375,20.9375,false
5,5_spot_011,39.2238,39.2238,39.2238,39.2238,false
5,5_spot_012,32.9326,32.9326,32.9326,32.9326,false
5,5_spot_013,26.8944,26.8944,26.8944,26.8944,false
5,5_spot_014,16.5077,16.5077,16.5077,16.5077,false
5,5_spot_015,32.7568,32.7568,32.7568,32.7568,false
5,5_spot_016,29.8413,29.8413,29.8413,29.8413,false
5,5_spot_017,23.1386,23.1386,23.1386,23.1386,false
5,5_spot_018,22.7432,22.7432,22.7432,22.7432,false
5,5_spot_019,25.8531,25.8531,25.8531,25.8531,false
5,5_spot_020,25.2266,25.2266,25.2266,25.2266,false
5,5_spot_021,20.2486,20.2486,20.2486,20.2486,false
5,5_spot_022,24.0116,24.0116,24.0116,24.0116,false
5,5_spot_023,31.7238,31.7238,31.7238,31.7238,false
5,5_spot_024,28.6924,28.6924,28.6924,28.6924,false
5,5_spot_025,26.6342,26.6342,26.6342,26.6342,false
6,6_spot_001,22.0165,22.0165,22.0165,22.0165,false
6,6_spot_002,25.3033,25.3033,25.3033,25.3033,false
6,6_spot_003,31.7078,31.7078,31.7078,31.7078,false
6,6_spot_004,30.4796,30.4796,30.4796,30.4796,false
6,6_spot_005,33.3675,33.3675,33.3675,33.3675,false
6,6_spot_006,31.2612,31.2612,31.2612,31.2612,false
6,6_spot_007,31.345,31.345,31.345,31.345,false
6,6_spot_008,42.012,42.012,42.012,42.012,false
6,6_spot_009,30.2077,30.2077,30.2077,30.2077,false
6,6_spot_010,32.3324,32.3324,32.3324,32.3324,false
6,6_spot_011,35.3985,35.3985,35.3985,35.3985,false
6,6_spot_012,33.3018,33.3018,33.3018,33.3018,false
6,6_spot_013,32.5577,32.5577,32.5577,32.5577,false
6,6_spot_014,30.887,30.887,30.887,30.887,false
6,6_spot_015,28.6532,28.6532,28.6532,28.6532,false
6,6_spot_016,31.1931,31.1931,31.1931,31.1931,false
6,6_spot_017,25.8119,25.8119,25.8119,25.8119,false
7,7_spot_001,50.0,71.5692,71.5692,50.0,true
7,7_spot_002,50.0,54.5476,54.5476,50.0,true
7,7_spot_003,44.9028,44.9028,44.9028,44.9028,false
7,7_spot_004,50.0,62.0434,62.0434,50.0,true
7,7_spot_005,50.0,62.342,62.342,50.0,true
7,7_spot_006,49.6821,49.6821,49.6821,49.6821,false
7,7_spot_007,38.1704,38.1704,38.1704,38.1704,false
7,7_spot_008,50.0,50.9314,50.9314,50.0,true
7,7_spot_009,50.0,96.2138,96.2138,50.0,true
7,7_spot_010,47.508,47.508,47.508,47.508,false
7,7_spot_011,50.0,60.2102,60.2102,50.0,true
7,7_spot_012,50.0,64.6781,64.6781,50.0,true
7,7_spot_013,40.2648,40.2648,40.2648,40.2648,false
7,7_spot_014,33.6156,33.6156,33.6156,33.6156,false
7,7_spot_015,40.734,40.734,40.734,40.734,false
7,7_spot_016,48.6662,48.6662,48.6662,48.6662,false
7,7_spot_017,50.0,60.7167,60.7167,50.0,true
7,7_spot_018,46.1412,46.1412,46.1412,46.1412,false
7,7_spot_019,30.3735,30.3735,30.3735,30.3735,false
7,7_spot_020,27.0489,27.0489,27.0489,27.0489,false
7,7_spot_021,39.452,39.452,39.452,39.452,false
7,7_spot_022,41.0428,41.0428,41.0428,41.0428,false
7,7_spot_023,37.2073,37.2073,37.2073,37.2073,false
7,7_spot_024,35.7964,35.7964,35.7964,35.7964,false
7,7_spot_025,29.7827,29.7827,29.7827,29.7827,false
7,7_spot_026,50.0,64.7477,64.7477,50.0,true
7,7_spot_027,50.0,50.0026,50.0026,50.0,true
8,8_spot_001,50.0,58.7389,58.7389,50.0,true
8,8_spot_002,37.5034,37.5034,37.5034,37.5034,false
8,8_spot_003,50.0,79.1913,79.1913,50.0,true
8,8_spot_004,50.0,54.8567,54.8567,50.0,true
8,8_spot_005,46.4463,46.4463,46.4463,46.4463,false
8,8_spot_006,41.1891,41.1891,41.1891,41.1891,false
8,8_spot_007,50.0,51.0393,51.0393,50.0,true
8,8_spot_008,44.4186,44.4186,44.4186,44.4186,false
8,8_spot_009,50.0,78.32,78.32,50.0,true
8,8_spot_010,50.0,101.9511,101.9511,50.0,true
8,8_spot_011,48.7084,48.7084,48.7084,48.7084,false
8,8_spot_012,50.0,69.9519,69.9519,50.0,true
8,8_spot_013,41.5722,41.5722,41.5722,41.5722,false
8,8_spot_014,50.0,156.6047,156.6047,50.0,true
8,8_spot_015,45.9315,45.9315,45.9315,45.9315,false
8,8_spot_016,50.0,99.9526,99.9526,50.0,true
8,8_spot_017,50.0,65.4858,65.4858,50.0,true
8,8_spot_018,50.0,61.5874,61.5874,50.0,true
8,8_spot_019,50.0,83.4522,83.4522,50.0,true
8,8_spot_020,45.4535,45.4535,45.4535,45.4535,false
9,9_spot_001,35.847,35.847,35.847,35.847,false
9,9_spot_002,44.2296,44.2296,44.2296,44.2296,false
9,9_spot_003,34.482,34.482,34.482,34.482,false
9,9_spot_004,24.1672,24.1672,24.1672,24.1672,false
9,9_spot_005,50.0,76.148,76.148,50.0,true
9,9_spot_006,43.7308,43.7308,43.7308,43.7308,false
9,9_spot_007,35.7545,35.7545,35.7545,35.7545,false
9,9_spot_008,40.5645,40.5645,40.5645,40.5645,false
9,9_spot_009,50.0,59.6658,59.6658,50.0,true
9,9_spot_010,32.5001,32.5001,32.5001,32.5001,false
9,9_spot_011,44.6788,44.6788,44.6788,44.6788,false
9,9_spot_012,30.8059,30.8059,30.8059,30.8059,false
9,9_spot_013,50.0,61.4004,61.4004,50.0,true
10,10_spot_001,50.0,89.9127,89.9127,50.0,true
10,10_spot_002,50.0,62.3259,62.3259,50.0,true
10,10_spot_003,50.0,63.4548,63.4548,50.0,true
10,10_spot_004,39.625,39.625,39.625,39.625,false
10,10_spot_005,50.0,72.631,72.631,50.0,true
10,10_spot_006,50.0,65.1806,65.1806,50.0,true
10,10_spot_007,44.3425,44.3425,44.3425,44.3425,false
10,10_spot_008,40.1546,40.1546,40.1546,40.1546,false
10,10_spot_009,36.8851,36.8851,36.8851,36.8851,false
10,10_spot_010,50.0,57.6835,57.6835,50.0,true
10,10_spot_011,47.1846,47.1846,47.1846,47.1846,false
10,10_spot_012,50.0,50.9363,50.9363,50.0,true
10,10_spot_013,41.7494,41.7494,41.7494,41.7494,false
10,10_spot_014,50.0,54.1238,54.1238,50.0,true
10,10_spot_015,50.0,54.9398,54.9398,50.0,true
10,10_spot_016,48.972,48.972,48.972,48.972,false
10,10_spot_017,49.543,49.543,49.543,49.543,false
10,10_spot_018,30.9254,30.9254,30.9254,30.9254,false
10,10_spot_019,46.049,46.049,46.049,46.049,false
10,10_spot_020,50.0,54.167,54.167,50.0,true
11,11_spot_001,45.0251,45.0251,45.0251,45.0251,false
11,11_spot_002,46.1412,46.1412,46.1412,46.1412,false
11,11_spot_003,50.0,86.1424,86.1424,50.0,true
11,11_spot_004,49.3091,49.3091,49.3091,49.3091,false
11,11_spot_005,40.3858,40.3858,40.3858,40.3858,false
11,11_spot_006,49.543,49.543,49.543,49.543,false
11,11_spot_007,43.2355,43.2355,43.2355,43.2355,false
11,11_spot_008,29.4513,29.4513,29.4513,29.4513,false
11,11_spot_009,26.435,26.435,26.435,26.435,false
11,11_spot_010,32.7568,32.7568,32.7568,32.7568,false
11,11_spot_011,32.6498,32.6498,32.6498,32.6498,false
11,11_spot_012,50.0,51.793,51.793,50.0,true
11,11_spot_013,50.0,66.6278,66.6278,50.0,true
11,11_spot_014,44.0513,44.0513,44.0513,44.0513,false
11,11_spot_015,31.4703,31.4703,31.4703,31.4703,false
11,11_spot_016,48.5027,48.5027,48.5027,48.5027,false
11,11_spot_017,37.1518,37.1518,37.1518,37.1518,false
11,11_spot_018,40.0313,40.0313,40.0313,40.0313,false
11,11_spot_019,30.9234,30.9234,30.9234,30.9234,false
11,11_spot_020,35.8522,35.8522,35.8522,35.8522,false
11,11_spot_021,42.9742,42.9742,42.9742,42.9742,false
11,11_spot_022,34.0486,34.0486,34.0486,34.0486,false
11,11_spot_023,50.0,63.3394,63.3394,50.0,true
11,11_spot_024,50.0,55.1997,55.1997,50.0,true
11,11_spot_025,34.9071,34.9071,34.9071,34.9071,false
11,11_spot_026,41.9316,41.9316,41.9316,41.9316,false
11,11_spot_027,50.0,62.5001,62.5001,50.0,true
11,11_spot_028,50.0,56.3062,56.3062,50.0,true
11,11_spot_029,50.0,62.8841,62.8841,50.0,true
11,11_spot_030,42.7666,42.7666,42.7666,42.7666,false
11,11_spot_031,50.0,51.7157,51.7157,50.0,true
12,12_spot_001,37.4562,37.4562,37.4562,37.4562,false
12,12_spot_002,50.0,56.6856,56.6856,50.0,true
12,12_spot_003,50.0,53.0029,53.0029,50.0,true
12,12_spot_004,39.7053,39.7053,39.7053,39.7053,false
12,12_spot_005,45.3928,45.3928,45.3928,45.3928,false
12,12_spot_006,42.4854,42.4854,42.4854,42.4854,false
12,12_spot_007,50.0,62.598,62.598,50.0,true
12,12_spot_008,50.0,50.2843,50.2843,50.0,true
12,12_spot_009,50.0,55.3201,55.3201,50.0,true
12,12_spot_010,50.0,76.0633,76.0633,50.0,true
12,12_spot_011,40.0781,40.0781,40.0781,40.0781,false
12,12_spot_012,50.0,74.3002,74.3002,50.0,true
12,12_spot_013,50.0,108.1042,108.1042,50.0,true
12,12_spot_014,26.6731,26.6731,26.6731,26.6731,false
12,12_spot_015,50.0,53.5293,53.5293,50.0,true
12,12_spot_016,50.0,58.7389,58.7389,50.0,true
12,12_spot_017,23.6486,23.6486,23.6486,23.6486,false
12,12_spot_018,32.0703,32.0703,32.0703,32.0703,false
12,12_spot_019,27.3383,27.3383,27.3383,27.3383,false
12,12_spot_020,26.6694,26.6694,26.6694,26.6694,false
12,12_spot_021,47.0572,47.0572,47.0572,47.0572,false
12,12_spot_022,33.8679,33.8679,33.8679,33.8679,false
12,12_spot_023,38.8105,38.8105,38.8105,38.8105,false
12,12_spot_024,50.0,59.168,59.168,50.0,true
12,12_spot_025,20.319,20.319,20.319,20.319,false
12,12_spot_026,50.0,55.754,55.754,50.0,true
12,12_spot_027,25.8182,25.8182,25.8182,25.8182,false
12,12_spot_028,35.7964,35.7964,35.7964,35.7964,false
12,12_spot_029,43.9547,43.9547,43.9547,43.9547,false
12,12_spot_030,26.8922,26.8922,26.8922,26.8922,false
12,12_spot_031,47.8371,47.8371,47.8371,47.8371,false
12,12_spot_032,38.295,38.295,38.295,38.295,false
12,12_spot_033,35.7685,35.7685,35.7685,35.7685,false
12,12_spot_034,41.0772,41.0772,41.0772,41.0772,false
12,12_spot_035,50.0,57.3194,57.3194,50.0,true
12,12_spot_036,28.28,28.28,28.28,28.28,false
12,12_spot_037,50.0,53.5864,53.5864,50.0,true
12,12_spot_038,32.5961,32.5961,32.5961,32.5961,false
12,12_spot_039,50.0,71.318,71.318,50.0,true
13,13_spot_001,39.5851,39.5851,39.5851,39.5851,false
13,13_spot_002,50.0,56.8794,56.8794,50.0,true
13,13_spot_003,50.0,60.3843,60.3843,50.0,true
13,13_spot_004,33.6806,33.6806,33.6806,33.6806,false
13,13_spot_005,39.1282,39.1282,39.1282,39.1282,false
13,13_spot_006,49.543,49.543,49.543,49.543,false
13,13_spot_007,25.1671,25.1671,25.1671,25.1671,false
13,13_spot_008,33.7549,33.7549,33.7549,33.7549,false
13,13_spot_009,50.0,57.8015,57.8015,50.0,true
13,13_spot_010,50.0,53.5211,53.5211,50.0,true
13,13_spot_011,50.0,52.7377,52.7377,50.0,true
13,13_spot_012,29.5297,29.5297,29.5297,29.5297,false
13,13_spot_013,50.0,68.0185,68.0185,50.0,true
13,13_spot_014,35.847,35.847,35.847,35.847,false
13,13_spot_015,41.0762,41.0762,41.0762,41.0762,false
13,13_spot_016,36.0411,36.0411,36.0411,36.0411,false
13,13_spot_017,50.0,58.0905,58.0905,50.0,true
13,13_spot_018,50.0,57.3652,57.3652,50.0,true
13,13_spot_019,50.0,58.9174,58.9174,50.0,true
13,13_spot_020,29.4848,29.4848,29.4848,29.4848,false
14,14_spot_001,35.6722,35.6722,35.6722,35.6722,false
14,14_spot_002,38.8492,38.8492,38.8492,38.8492,false
14,14_spot_003,50.0,54.2334,54.2334,50.0,true
14,14_spot_004,42.0358,42.0358,42.0358,42.0358,false
14,14_spot_005,43.2362,43.2362,43.2362,43.2362,false
14,14_spot_006,39.6549,39.6549,39.6549,39.6549,false
14,14_spot_007,33.4499,33.4499,33.4499,33.4499,false
14,14_spot_008,29.6017,29.6017,29.6017,29.6017,false
14,14_spot_009,50.0,64.042,64.042,50.0,true
14,14_spot_010,44.6375,44.6375,44.6375,44.6375,false
14,14_spot_011,41.1851,41.1851,41.1851,41.1851,false
14,14_spot_012,42.1946,42.1946,42.1946,42.1946,false
14,14_spot_013,50.0,54.8863,54.8863,50.0,true
14,14_spot_014,34.9861,34.9861,34.9861,34.9861,false
14,14_spot_015,43.9091,43.9091,43.9091,43.9091,false
15,15_spot_001,38.5137,38.5137,38.5137,38.5137,false
15,15_spot_002,49.8228,49.8228,49.8228,49.8228,false
15,15_spot_003,50.0,51.793,51.793,50.0,true
15,15_spot_004,33.8915,33.8915,33.8915,33.8915,false
15,15_spot_005,42.8734,42.8734,42.8734,42.8734,false
15,15_spot_006,43.0466,43.0466,43.0466,43.0466,false
15,15_spot_007,33.4917,33.4917,33.4917,33.4917,false
15,15_spot_008,50.0,93.5199,93.5199,50.0,true
15,15_spot_009,45.277,45.277,45.277,45.277,false
15,15_spot_010,47.8686,47.8686,47.8686,47.8686,false
15,15_spot_011,43.6164,43.6164,43.6164,43.6164,false
15,15_spot_012,50.0,66.9805,66.9805,50.0,true
15,15_spot_013,45.1196,45.1196,45.1196,45.1196,false
15,15_spot_014,50.0,50.2495,50.2495,50.0,true
15,15_spot_015,45.277,45.277,45.277,45.277,false
15,15_spot_016,50.0,74.8616,74.8616,50.0,true
15,15_spot_017,34.085,34.085,34.085,34.085,false
15,15_spot_018,39.7809,39.7809,39.7809,39.7809,false
15,15_spot_019,35.6091,35.6091,35.6091,35.6091,false
15,15_spot_020,48.5117,48.5117,48.5117,48.5117,false
15,15_spot_021,50.0,70.0804,70.0804,50.0,true
15,15_spot_022,50.0,93.2806,93.2806,50.0,true
15,15_spot_023,50.0,54.8853,54.8853,50.0,true
15,15_spot_024,50.0,58.0216,58.0216,50.0,true
