rank,system,score,label,output_file,paired_mask_file,source_id,source_image,x,y,generation_method,blue_marker_ratio,border_foreground_ratio,center_foreground_ratio,contrast,dirty_mark_center_score,dirty_mark_found,dirty_mark_margin_score,dirty_mark_ratio,edge_density,entropy,estimated_background_ratio,exposure_score,flat_ratio,foreground_ratio,high_frequency_energy,laplacian_variance,largest_component_area,largest_component_ratio,largest_flat_background_ratio,local_std_mean,material_border_ratio,material_center_ratio,material_largest_component_area,material_largest_component_ratio,material_ratio,mean_brightness,quality_gate_pass,read_ok,tenengrad
11,system_1_opencv_content_contour,0.97357629,clean_negative,clean_negative/clean_1_89.jpg,,1,1.jpg,667,820,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.31516326,0.00000000,0.00000000,0.00000000,0.00000000,0.16471863,0.76249655,0.00756836,0.99538422,0.02404785,1.00000000,0.19103022,366.87102371,65536.00000000,1.00000000,0.00016785,11.90351295,0.98139648,1.00000000,65040.00000000,0.99243164,0.99243164,148.74707031,1.00000000,1.00000000,5631.76611328
12,system_1_opencv_content_contour,0.97273319,clean_negative,clean_negative/clean_1_81.jpg,,1,1.jpg,728,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.32380763,0.00000000,0.00000000,0.00000000,0.00000000,0.14642334,0.75425251,0.00865173,0.99679565,0.03007507,1.00000000,0.18563962,251.49003413,65536.00000000,1.00000000,0.00036621,11.19263268,0.98247070,0.98376465,64969.00000000,0.99134827,0.99134827,150.08201599,1.00000000,1.00000000,4664.62109375
13,system_1_opencv_content_contour,0.97262684,clean_negative,clean_negative/clean_1_73.jpg,,1,1.jpg,728,761,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.70510220,0.00000000,0.00000000,0.00000000,0.00000000,0.14184570,0.75823601,0.00793457,0.99664307,0.03245544,1.00000000,0.17497016,250.28722402,65536.00000000,1.00000000,0.00115967,11.14038277,0.98740234,0.99005127,65016.00000000,0.99206543,0.99206543,150.40847778,1.00000000,1.00000000,4623.20166016
14,system_1_opencv_content_contour,0.97197613,clean_negative,clean_negative/clean_14_99.jpg,,14,14.jpg,310,720,sliding_window_clean,0.00000000,0.99907227,1.00000000,18.80330692,0.00000000,0.00000000,0.00000000,0.00000000,0.12467957,0.70696433,0.01411438,0.99835968,0.03744507,0.99967957,0.19611627,328.23457923,65515.00000000,0.99967957,0.00337219,9.15470600,0.97402344,0.99566650,64606.00000000,0.98580933,0.98588562,165.37667847,1.00000000,1.00000000,3565.52783203
15,system_1_opencv_content_contour,0.97104584,clean_negative,clean_negative/clean_1_67.jpg,,1,1.jpg,535,730,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.94834083,0.00000000,0.00000000,0.00000000,0.00000000,0.18354797,0.77588598,0.00737000,0.99546051,0.02549744,1.00000000,0.18000185,627.40400304,65536.00000000,1.00000000,0.00009155,12.62691116,0.99497070,0.98205566,65053.00000000,0.99263000,0.99263000,144.49993896,1.00000000,1.00000000,6756.02441406
16,system_1_opencv_content_contour,0.97099397,clean_negative,clean_negative/clean_1_66.jpg,,1,1.jpg,488,730,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.79949033,0.00000000,0.00000000,0.00000000,0.00000000,0.17675781,0.74834998,0.00794983,0.99633789,0.03271484,1.00000000,0.21417333,708.66517402,65536.00000000,1.00000000,0.00001526,12.32993221,0.99497070,0.98358154,65015.00000000,0.99205017,0.99205017,140.58149719,1.00000000,1.00000000,6810.03466797
17,system_1_opencv_content_contour,0.97058243,clean_negative,clean_negative/clean_1_74.jpg,,1,1.jpg,776,761,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.57210123,0.00000000,0.00000000,0.00000000,0.00000000,0.13713074,0.75845536,0.01203918,0.99778748,0.04002380,1.00000000,0.17538173,225.66224574,65536.00000000,1.00000000,0.00115967,10.91356850,0.98593750,0.98846436,64747.00000000,0.98796082,0.98796082,147.39564514,1.00000000,1.00000000,4329.26660156
18,system_1_opencv_content_contour,0.96985530,clean_negative,clean_negative/clean_1_86.jpg,,1,1.jpg,776,785,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.04658389,0.00000000,0.00000000,0.00000000,0.00000000,0.14369202,0.75300876,0.01251221,0.99771118,0.03906250,1.00000000,0.18855554,232.13683066,65536.00000000,1.00000000,0.00041199,10.97377396,0.98125000,0.98339844,64716.00000000,0.98748779,0.98748779,146.66505432,1.00000000,1.00000000,4430.66113281
19,system_1_opencv_content_contour,0.96932569,clean_negative,clean_negative/clean_10_27.jpg,,10,10.jpg,724,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.64121079,0.00000000,0.00000000,0.00000000,0.00000000,0.22836304,0.78928685,0.00073242,0.99023438,0.00531006,1.00000000,0.24580808,806.69148792,65536.00000000,1.00000000,0.00003052,15.17124748,0.99975586,0.99737549,65488.00000000,0.99926758,0.99926758,159.81231689,1.00000000,1.00000000,9385.97167969
20,system_1_opencv_content_contour,0.96890439,clean_negative,clean_negative/clean_1_71.jpg,,1,1.jpg,632,761,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.47933518,0.00000000,0.00000000,0.00000000,0.00000000,0.17362976,0.78306945,0.00978088,0.99530792,0.02825928,1.00000000,0.16891463,424.30061933,65536.00000000,1.00000000,0.00115967,12.28273773,0.96689453,1.00000000,64890.00000000,0.99014282,0.99021912,150.02601624,1.00000000,1.00000000,6012.04199219
21,system_1_opencv_content_contour,0.96824388,clean_negative,clean_negative/clean_1_82.jpg,,1,1.jpg,776,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.19775406,0.00000000,0.00000000,0.00000000,0.00000000,0.14187622,0.75436815,0.01440430,0.99794006,0.04095459,1.00000000,0.18240428,229.72575594,65536.00000000,1.00000000,0.00036621,10.94040680,0.97402344,0.98229980,64592.00000000,0.98559570,0.98559570,146.79888916,1.00000000,1.00000000,4396.25292969
22,system_1_opencv_content_contour,0.96800417,clean_negative,clean_negative/clean_10_41.jpg,,10,10.jpg,772,488,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.05016472,0.00000000,0.00000000,0.00000000,0.00000000,0.24087524,0.78881653,0.00183105,0.99053955,0.00976562,1.00000000,0.23640674,825.14038920,65536.00000000,1.00000000,0.00000000,15.58497334,0.99682617,0.99865723,65416.00000000,0.99816895,0.99816895,153.79968262,1.00000000,1.00000000,9751.57910156
23,system_1_opencv_content_contour,0.96682342,clean_negative,clean_negative/clean_1_70.jpg,,1,1.jpg,584,761,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.87219226,0.00000000,0.00000000,0.00000000,0.00000000,0.17626953,0.78460034,0.01229858,0.99523163,0.03253174,1.00000000,0.15732655,517.85850489,65536.00000000,1.00000000,0.00010681,12.46280384,0.98041992,0.99359131,64725.00000000,0.98762512,0.98770142,146.40211487,1.00000000,1.00000000,6381.09960938
24,system_1_opencv_content_contour,0.96610152,clean_negative,clean_negative/clean_14_100.jpg,,14,14.jpg,336,720,sliding_window_clean,0.00000000,1.00000000,1.00000000,18.87752079,0.00000000,0.00000000,0.00000000,0.00000000,0.11456299,0.70613647,0.01768494,0.99870300,0.04684448,0.99998474,0.18507794,318.09199452,65535.00000000,0.99998474,0.00257874,8.94491673,0.96210938,0.99737549,64377.00000000,0.98231506,0.98231506,162.51048279,1.00000000,1.00000000,3454.08593750
25,system_1_opencv_content_contour,0.96598446,clean_negative,clean_negative/clean_10_40.jpg,,10,10.jpg,724,475,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.38193818,0.00000000,0.00000000,0.00000000,0.00000000,0.24615479,0.79774125,0.00096130,0.98901367,0.00436401,1.00000000,0.24183513,879.47936568,65536.00000000,1.00000000,0.00000000,16.10116577,1.00000000,0.99884033,65473.00000000,0.99903870,0.99903870,156.20065308,1.00000000,1.00000000,10379.29101562
26,system_1_opencv_content_contour,0.96579841,clean_negative,clean_negative/clean_10_37.jpg,,10,10.jpg,820,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.10050622,0.00000000,0.00000000,0.00000000,0.00000000,0.20892334,0.78239727,0.00354004,0.99084473,0.01567078,1.00000000,0.20567724,657.42563563,65536.00000000,1.00000000,0.00000000,13.99098778,0.99658203,0.99938965,65304.00000000,0.99645996,0.99645996,155.72166443,1.00000000,1.00000000,8024.58398438
27,system_1_opencv_content_contour,0.96531202,clean_negative,clean_negative/clean_10_36.jpg,,10,10.jpg,772,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.45935835,0.00000000,0.00000000,0.00000000,0.00000000,0.23117065,0.79033454,0.00132751,0.98928070,0.00787354,1.00000000,0.22408874,748.76981483,65536.00000000,1.00000000,0.00000000,14.96980095,0.99819336,1.00000000,65449.00000000,0.99867249,0.99867249,158.46737671,1.00000000,1.00000000,8999.67480469
28,system_1_opencv_content_contour,0.96459451,clean_negative,clean_negative/clean_10_28.jpg,,10,10.jpg,772,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.06669525,0.00000000,0.00000000,0.00000000,0.00000000,0.21493530,0.78089070,0.00584412,0.99107361,0.01679993,1.00000000,0.23109002,717.69263451,65536.00000000,1.00000000,0.00018311,14.22786140,0.97612305,0.99853516,65153.00000000,0.99415588,0.99415588,159.20359802,1.00000000,1.00000000,8365.56835938
29,system_1_opencv_content_contour,0.96432012,clean_negative,clean_negative/clean_10_35.jpg,,10,10.jpg,724,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.80132753,0.00000000,0.00000000,0.00000000,0.00000000,0.24134827,0.79748956,0.00099182,0.98844147,0.00431824,1.00000000,0.23866530,824.44110110,65536.00000000,1.00000000,0.00000000,15.71391106,0.99956055,0.99884033,65471.00000000,0.99900818,0.99900818,159.22471619,1.00000000,1.00000000,9865.57812500
30,system_1_opencv_content_contour,0.96402936,clean_negative,clean_negative/clean_1_79.jpg,,1,1.jpg,632,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.38297695,0.00000000,0.00000000,0.00000000,0.00000000,0.17375183,0.78129721,0.01411438,0.99546051,0.03488159,1.00000000,0.17128032,420.86157700,65536.00000000,1.00000000,0.00010681,12.20319271,0.96132812,1.00000000,64606.00000000,0.98580933,0.98588562,149.13237000,1.00000000,1.00000000,5970.94726562
31,system_1_opencv_content_contour,0.96368893,clean_negative,clean_negative/clean_1_69.jpg,,1,1.jpg,831,760,sliding_window_clean,0.00000000,1.00000000,1.00000000,22.48469970,0.00000000,0.00000000,0.00000000,0.00000000,0.12611389,0.74229956,0.01814270,0.99835968,0.05435181,1.00000000,0.18445751,214.26914629,65536.00000000,1.00000000,0.00070190,10.68078709,0.98168945,0.99188232,64347.00000000,0.98185730,0.98185730,145.82261658,1.00000000,1.00000000,4222.81152344
32,system_1_opencv_content_contour,0.96345188,clean_negative,clean_negative/clean_10_10.jpg,,10,10.jpg,676,297,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.24495189,0.00000000,0.00000000,0.00000000,0.00000000,0.20295715,0.76280395,0.00346375,0.99008179,0.01617432,1.00000000,0.26828066,706.11222040,65536.00000000,1.00000000,0.00000000,13.81467819,0.99770508,0.99749756,65309.00000000,0.99653625,0.99653625,158.65808105,1.00000000,1.00000000,8124.91503906
33,system_1_opencv_content_contour,0.96310148,clean_negative,clean_negative/clean_8_21.jpg,,8,8.jpg,438,564,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.86587314,0.00000000,0.00000000,0.00000000,0.00000000,0.16838074,0.75337776,0.01013184,0.99332428,0.03158569,1.00000000,0.21813715,341.82965219,65536.00000000,1.00000000,0.00106812,12.51821899,0.97983398,0.99749756,64872.00000000,0.98986816,0.98986816,158.74368286,1.00000000,1.00000000,5694.70312500
34,system_1_opencv_content_contour,0.96292357,clean_negative,clean_negative/clean_10_26.jpg,,10,10.jpg,676,393,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.89482333,0.00000000,0.00000000,0.00000000,0.00000000,0.24061584,0.78942688,0.00065613,0.98786926,0.00410461,1.00000000,0.26384684,879.36450031,65536.00000000,1.00000000,0.00003052,15.73047924,1.00000000,0.99884033,65493.00000000,0.99934387,0.99934387,158.81953430,1.00000000,1.00000000,10112.27343750
35,system_1_opencv_content_contour,0.96286242,clean_negative,clean_negative/clean_10_38.jpg,,10,10.jpg,852,441,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.00187678,0.00000000,0.00000000,0.00000000,0.00000000,0.19728088,0.76758774,0.00804138,0.99233246,0.02134705,1.00000000,0.20651039,624.90485186,65536.00000000,1.00000000,0.00593567,13.40769863,0.97275391,0.99938965,64989.00000000,0.99165344,0.99195862,153.64874268,1.00000000,1.00000000,7438.18652344
36,system_1_opencv_content_contour,0.96257819,clean_negative,clean_negative/clean_1_78.jpg,,1,1.jpg,584,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,27.65553648,0.00000000,0.00000000,0.00000000,0.00000000,0.17346191,0.78102509,0.01638794,0.99553680,0.03945923,1.00000000,0.15713055,484.76264731,65536.00000000,1.00000000,0.00010681,12.22521210,0.97534180,0.99285889,64457.00000000,0.98353577,0.98361206,145.36054993,1.00000000,1.00000000,6124.19433594
37,system_1_opencv_content_contour,0.96247354,clean_negative,clean_negative/clean_1_87.jpg,,1,1.jpg,824,785,sliding_window_clean,0.00000000,1.00000000,1.00000000,22.59946673,0.00000000,0.00000000,0.00000000,0.00000000,0.13323975,0.74327183,0.01748657,0.99797821,0.05104065,1.00000000,0.18362343,217.39269632,65536.00000000,1.00000000,0.00103760,10.76625252,0.97895508,0.98144531,64390.00000000,0.98251343,0.98251343,145.39736938,1.00000000,1.00000000,4262.92578125
38,system_1_opencv_content_contour,0.96041484,clean_negative,clean_negative/clean_1_75.jpg,,1,1.jpg,440,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,17.93852068,0.00000000,0.00000000,0.00000000,0.00000000,0.13629150,0.66063452,0.02058411,0.99904633,0.06257629,1.00000000,0.30556396,598.78682322,65536.00000000,1.00000000,0.00000000,10.41357517,0.97822266,0.99450684,64182.00000000,0.97933960,0.97941589,131.13276672,1.00000000,1.00000000,5172.29541016
39,system_1_opencv_content_contour,0.96040562,clean_negative,clean_negative/clean_3_61.jpg,,3,3.jpg,432,936,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.46989369,0.00000000,0.00000000,0.00000000,0.00000000,0.17468262,0.74959524,0.00633240,0.99176025,0.03302002,1.00000000,0.23343147,654.73479075,65536.00000000,1.00000000,0.00086975,12.31765842,0.99189453,0.99725342,65116.00000000,0.99359131,0.99366760,160.30082703,1.00000000,1.00000000,6693.73339844
40,system_1_opencv_content_contour,0.96024876,clean_negative,clean_negative/clean_1_77.jpg,,1,1.jpg,536,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,26.56319294,0.00000000,0.00000000,0.00000000,0.00000000,0.16448975,0.76118914,0.01821899,0.99618530,0.04684448,1.00000000,0.16732036,568.80119722,65536.00000000,1.00000000,0.00010681,11.93116188,0.98027344,0.99035645,64337.00000000,0.98170471,0.98178101,141.13528442,1.00000000,1.00000000,6208.45019531
41,system_1_opencv_content_contour,0.95995373,clean_negative,clean_negative/clean_1_83.jpg,,1,1.jpg,824,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,22.66989506,0.00000000,0.00000000,0.00000000,0.00000000,0.13160706,0.74397198,0.01965332,0.99809265,0.05328369,1.00000000,0.18063709,215.13017265,65536.00000000,1.00000000,0.00065613,10.73474216,0.97265625,0.98358154,64240.00000000,0.98022461,0.98034668,145.53735352,1.00000000,1.00000000,4241.46191406
42,system_1_opencv_content_contour,0.95938944,clean_negative,clean_negative/clean_8_19.jpg,,8,8.jpg,358,564,sliding_window_clean,0.00000000,1.00000000,1.00000000,22.78278166,0.00000000,0.00000000,0.00000000,0.00000000,0.17036438,0.72301292,0.01300049,0.99408722,0.03974915,1.00000000,0.24140148,458.93678008,65536.00000000,1.00000000,0.00018311,12.30253601,0.98051758,0.98657227,64684.00000000,0.98699951,0.98699951,153.40444946,1.00000000,1.00000000,6149.42480469
43,system_1_opencv_content_contour,0.95910315,clean_negative,clean_negative/clean_8_18.jpg,,8,8.jpg,310,564,sliding_window_clean,0.00000000,1.00000000,1.00000000,19.91381585,0.00000000,0.00000000,0.00000000,0.00000000,0.16839600,0.69270531,0.01530457,0.99542236,0.04583740,1.00000000,0.31742939,505.60660351,65536.00000000,1.00000000,0.00070190,11.96702766,0.97397461,0.98699951,64533.00000000,0.98469543,0.98469543,150.86463928,1.00000000,1.00000000,6180.14599609
44,system_1_opencv_content_contour,0.95909695,clean_negative,clean_negative/clean_8_20.jpg,,8,8.jpg,406,564,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.01559391,0.00000000,0.00000000,0.00000000,0.00000000,0.16453552,0.74665737,0.01252747,0.99382019,0.04098511,1.00000000,0.20641655,352.39534067,65536.00000000,1.00000000,0.00129700,12.09080315,0.97563477,0.99346924,64715.00000000,0.98747253,0.98747253,156.48654175,1.00000000,1.00000000,5520.65722656
45,system_1_opencv_content_contour,0.95902669,clean_negative,clean_negative/clean_14_130.jpg,,14,14.jpg,384,1168,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.99542396,0.00000000,0.00000000,0.00000000,0.00000000,0.18754578,0.76687972,0.00425720,0.98939514,0.02163696,1.00000000,0.20470333,468.18209604,65536.00000000,1.00000000,0.00012207,12.34609222,0.99228516,0.99822998,65257.00000000,0.99574280,0.99574280,170.20722961,1.00000000,1.00000000,6169.28222656
46,system_1_opencv_content_contour,0.95900150,clean_negative,clean_negative/clean_3_47.jpg,,3,3.jpg,432,888,sliding_window_clean,0.00000000,1.00000000,1.00000000,24.47659741,0.00000000,0.00000000,0.00000000,0.00000000,0.18652344,0.75826367,0.00602722,0.99103546,0.03228760,1.00000000,0.22383933,685.32884843,65536.00000000,1.00000000,0.00012207,12.51873875,0.98837891,0.99993896,65141.00000000,0.99397278,0.99397278,159.37934875,1.00000000,1.00000000,6940.08105469
47,system_1_opencv_content_contour,0.95880980,clean_negative,clean_negative/clean_10_11.jpg,,10,10.jpg,724,297,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.78324252,0.00000000,0.00000000,0.00000000,0.00000000,0.19358826,0.76132337,0.01144409,0.99183655,0.02575684,1.00000000,0.25315937,640.98692369,65536.00000000,1.00000000,0.00396729,13.27518177,0.97602539,0.99578857,64786.00000000,0.98855591,0.98855591,160.47267151,1.00000000,1.00000000,7456.34375000
48,system_1_opencv_content_contour,0.95827701,clean_negative,clean_negative/clean_14_94.jpg,,14,14.jpg,240,657,sliding_window_clean,0.00000000,1.00000000,0.99877930,16.72940251,0.00000000,0.00000000,0.00000000,0.00000000,0.14778137,0.67478132,0.01109314,0.99229431,0.02496338,0.99969482,0.27417079,394.98449960,65516.00000000,0.99969482,0.00343323,9.76543999,0.98696289,0.97985840,64809.00000000,0.98890686,0.98890686,179.68640137,1.00000000,1.00000000,3950.31640625
49,system_1_opencv_content_contour,0.95813758,clean_negative,clean_negative/clean_1_76.jpg,,1,1.jpg,488,778,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.22376023,0.00000000,0.00000000,0.00000000,0.00000000,0.15144348,0.71460652,0.01985168,0.99748230,0.05705261,1.00000000,0.21006255,606.29115890,65536.00000000,1.00000000,0.00001526,11.29226398,0.97709961,0.98944092,64230.00000000,0.98007202,0.98014832,135.56353760,1.00000000,1.00000000,5872.65185547
50,system_1_opencv_content_contour,0.95809118,clean_negative,clean_negative/clean_10_18.jpg,,10,10.jpg,676,345,sliding_window_clean,0.00000000,1.00000000,1.00000000,25.78491618,0.00000000,0.00000000,0.00000000,0.00000000,0.21347046,0.77775542,0.00340271,0.98821259,0.01608276,1.00000000,0.25755253,767.93811172,65536.00000000,1.00000000,0.00000000,14.50292110,0.99521484,1.00000000,65313.00000000,0.99659729,0.99659729,158.32980347,1.00000000,1.00000000,8986.45312500
51,system_1_opencv_content_contour,0.95773126,clean_negative,clean_negative/clean_3_60.jpg,,3,3.jpg,384,936,sliding_window_clean,0.00000000,1.00000000,1.00000000,23.80987347,0.00000000,0.00000000,0.00000000,0.00000000,0.19752502,0.76016426,0.00431824,0.98874664,0.01910400,1.00000000,0.25220966,682.99017200,65536.00000000,1.00000000,0.00086975,12.97999573,0.99545898,0.99682617,65248.00000000,0.99560547,0.99568176,168.45007324,1.00000000,1.00000000,7099.31152344
52,system_1_opencv_content_contour,0.95699389,clean_negative,clean_negative/clean_14_89.jpg,,14,14.jpg,362,637,sliding_window_clean,0.00000000,1.00000000,1.00000000,18.33140651,0.00000000,0.00000000,0.00000000,0.00000000,0.13023376,0.70051336,0.02189636,0.99851227,0.04647827,1.00000000,0.20737320,386.20404407,65536.00000000,1.00000000,0.00433350,9.29923248,0.95048828,0.98602295,64064.00000000,0.97753906,0.97810364,167.57225037,1.00000000,1.00000000,3722.32983398
53,system_1_opencv_content_contour,0.95689692,clean_negative,clean_negative/clean_10_39.jpg,,10,10.jpg,676,475,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.68545907,0.00000000,0.00000000,0.00000000,0.00000000,0.24401855,0.79681118,0.00482178,0.98733521,0.00978088,1.00000000,0.23607613,897.62283903,65536.00000000,1.00000000,0.00000000,15.92232895,0.99711914,0.99884033,65220.00000000,0.99517822,0.99517822,154.15258789,1.00000000,1.00000000,10347.00000000
54,system_1_opencv_content_contour,0.95686727,clean_negative,clean_negative/clean_3_37.jpg,,3,3.jpg,432,862,sliding_window_clean,0.00000000,1.00000000,1.00000000,25.36973748,0.00000000,0.00000000,0.00000000,0.00000000,0.19703674,0.76608666,0.00431824,0.98916626,0.02586365,1.00000000,0.22977209,754.52845250,65536.00000000,1.00000000,0.00006104,13.09636307,0.99184570,0.99969482,65253.00000000,0.99568176,0.99568176,159.85227966,1.00000000,1.00000000,7619.45117188
55,system_1_opencv_content_contour,0.95579518,clean_negative,clean_negative/clean_10_42.jpg,,10,10.jpg,820,488,sliding_window_clean,0.00000000,1.00000000,1.00000000,28.28263805,0.00000000,0.00000000,0.00000000,0.00000000,0.22456360,0.79026397,0.01026917,0.99046326,0.02078247,1.00000000,0.21441796,754.20632801,65536.00000000,1.00000000,0.00000000,14.94785500,0.95410156,0.99804688,64863.00000000,0.98973083,0.98973083,152.41278076,1.00000000,1.00000000,9117.05957031
